"ISBN";"count";"rating-mean";"rating-std";"group-size";"group-weight";"normalized-weight"
"0007154615";"5.0";"7.0";"N/A";"3310.4";"3.2";"0.0009666505558240696"
"0020198906";"5.0";"6.0";"4.242640687119285";"1310.6";"1.2";"0.0009156111704562796"
"0020199600";"7.0";"8.0";"0.0";"472.14285714285717";"2.2857142857142856";"0.004841149773071104"
"002026478X";"14.0";"10.0";"0.0";"1766.857142857143";"2.5";"0.001414941785252264"
"0020427859";"6.0";"10.0";"N/A";"1251.5";"2.0";"0.0015980823012385138"
"0020442009";"4.0";"9.5";"0.7071067811865476";"903.25";"3.0";"0.0033213396069748133"
"0020442106";"5.0";"10.0";"N/A";"1100.2";"2.2";"0.0019996364297400473"
"0020442203";"9.0";"8.0";"1.0";"1266.5555555555557";"2.0";"0.0015790858847267303"
"0020442408";"7.0";"9.0";"1.0";"1175.0";"2.142857142857143";"0.00182370820668693"
"0020442505";"7.0";"9.5";"0.7071067811865476";"2633.0";"3.2857142857142856";"0.0012478975638869295"
"0020442602";"5.0";"9.0";"N/A";"1026.4";"2.8";"0.002727981293842556"
"0020446500";"5.0";"8.0";"N/A";"4633.8";"3.0";"0.0006474168069403081"
"0020449313";"4.0";"9.0";"N/A";"1119.25";"2.25";"0.0020102747375474648"
"0020518307";"4.0";"8.5";"0.7071067811865476";"1341.25";"1.75";"0.00130475302889096"
"0020518501";"8.0";"8.5";"0.5773502691896257";"2761.625";"4.25";"0.0015389489883673561"
"0020519001";"5.0";"7.0";"N/A";"3085.2";"4.0";"0.0012965123816932453"
"0020532105";"4.0";"N/A";"N/A";"1480.25";"2.5";"0.0016889039013680122"
"0020811853";"4.0";"6.0";"N/A";"4341.25";"3.75";"0.0008638065073423554"
"002086910X";"5.0";"5.0";"N/A";"535.8";"2.6";"0.0048525569242254575"
"002089130X";"4.0";"N/A";"N/A";"957.5";"2.75";"0.0028720626631853785"
"002542730X";"25.0";"8.125";"1.807721533549109";"1472.68";"2.32";"0.0015753592090610314"
"0028604199";"7.0";"9.0";"1.4142135623730951";"1540.4285714285713";"2.7142857142857144";"0.00176203282945377"
"0028604202";"9.0";"10.0";"0.0";"1755.7777777777778";"1.6666666666666667";"0.0009492469307682572"
"0060001445";"4.0";"5.0";"N/A";"2202.0";"1.0";"0.00045413260672116256"
"0060002492";"6.0";"7.0";"2.8284271247461903";"4229.166666666667";"4.5";"0.001064039408866995"
"006000438X";"6.0";"7.5";"2.1213203435596424";"2626.0";"3.8333333333333335";"0.00145976136075146"
"0060008032";"5.0";"7.666666666666667";"0.5773502691896258";"3517.4";"4.8";"0.0013646443395689998"
"0060008776";"8.0";"8.0";"N/A";"1433.875";"1.875";"0.0013076453665765845"
"0060080841";"4.0";"9.0";"N/A";"1134.5";"4.0";"0.0035257822829440283"
"0060083948";"6.0";"9.0";"1.4142135623730951";"2957.8333333333335";"3.0";"0.0010142559305798163"
"0060092572";"4.0";"7.0";"N/A";"3416.5";"3.75";"0.0010976145177813551"
"0060092645";"5.0";"8.0";"N/A";"1828.4";"2.2";"0.0012032378035440822"
"0060096195";"6.0";"7.5";"0.7071067811865476";"3841.5";"2.3333333333333335";"0.0006074016226300491"
"0060096209";"4.0";"N/A";"N/A";"1842.75";"2.25";"0.001221001221001221"
"0060097825";"4.0";"N/A";"N/A";"733.25";"1.75";"0.002386634844868735"
"0060139145";"4.0";"10.0";"N/A";"706.5";"2.25";"0.0031847133757961785"
"0060149205";"4.0";"N/A";"N/A";"4260.25";"3.5";"0.0008215480312188252"
"006015957X";"4.0";"N/A";"N/A";"5534.75";"3.5";"0.0006323682189800804"
"006016848X";"16.0";"8.25";"1.5";"1657.75";"3.0";"0.0018096817976172522"
"0060171928";"4.0";"8.0";"N/A";"678.5";"1.0";"0.0014738393515106854"
"0060173289";"5.0";"7.0";"N/A";"3241.0";"2.6";"0.0008022215365627893"
"0060174803";"4.0";"8.0";"N/A";"1352.25";"1.75";"0.001294139397300795"
"0060175400";"11.0";"9.5";"0.7071067811865476";"2817.818181818182";"2.6363636363636362";"0.0009356045941411794"
"0060175532";"4.0";"10.0";"N/A";"2569.0";"1.75";"0.0006811989100817438"
"0060175966";"4.0";"9.5";"0.7071067811865476";"900.75";"3.75";"0.004163197335553705"
"0060177225";"4.0";"N/A";"N/A";"5164.25";"3.5";"0.0006777363605557439"
"006018650X";"6.0";"N/A";"N/A";"1791.1666666666667";"1.5";"0.0008374430073508886"
"0060186526";"4.0";"8.0";"N/A";"4978.75";"3.0";"0.0006025608837559629"
"0060188731";"4.0";"6.0";"N/A";"4273.75";"4.25";"0.0009944428195378765"
"0060191988";"4.0";"7.0";"N/A";"3895.75";"3.5";"0.0008984149393569915"
"0060192119";"8.0";"7.5";"3.5355339059327378";"2324.5";"3.5";"0.001505700150570015"
"0060192704";"4.0";"N/A";"N/A";"1342.5";"3.5";"0.0026070763500931097"
"0060192895";"4.0";"N/A";"N/A";"1515.5";"1.5";"0.0009897723523589574"
"0060193344";"4.0";"5.0";"N/A";"5374.75";"5.0";"0.0009302758267826411"
"0060193395";"5.0";"8.333333333333334";"2.8867513459481287";"4337.8";"4.0";"0.0009221264235326663"
"006019491X";"7.0";"9.333333333333334";"1.1547005383792517";"3532.0";"3.2857142857142856";"0.0009302701828183142"
"0060198133";"7.0";"7.5";"0.7071067811865476";"2823.8571428571427";"2.857142857142857";"0.0010117873223048515"
"0060198346";"4.0";"N/A";"N/A";"4779.25";"4.0";"0.0008369514045090757"
"0060199563";"5.0";"N/A";"N/A";"1630.6";"1.6";"0.0009812339016313015"
"0060199652";"7.0";"7.0";"4.242640687119285";"3601.8571428571427";"3.857142857142857";"0.0010708761353270138"
"0060256656";"5.0";"10.0";"0.0";"852.4";"2.0";"0.002346316283435007"
"0060391480";"4.0";"N/A";"N/A";"5036.5";"4.75";"0.0009431152586121314"
"0060391553";"5.0";"5.0";"N/A";"4427.2";"3.6";"0.0008131550415612578"
"0060391626";"15.0";"9.75";"0.5";"2318.8";"2.6666666666666665";"0.0011500201253521935"
"0060391677";"4.0";"3.0";"N/A";"3850.5";"4.25";"0.0011037527593818985"
"0060392452";"19.0";"8.5";"1.2692955176439846";"1502.0526315789473";"2.526315789473684";"0.0016819089666771786"
"0060393823";"8.0";"8.0";"0.0";"2480.125";"2.625";"0.0010584143944357644"
"0060502258";"24.0";"7.333333333333333";"2.6457513110645907";"2004.5416666666667";"1.9166666666666667";"0.00095616204868112"
"0060505885";"6.0";"8.0";"N/A";"2479.1666666666665";"1.6666666666666667";"0.0006722689075630252"
"0060507365";"4.0";"10.0";"N/A";"6501.0";"3.5";"0.0005383787109675435"
"0060508302";"5.0";"8.0";"N/A";"2347.4";"2.8";"0.0011928090653488966"
"0060512822";"12.0";"8.0";"2.6457513110645907";"2616.3333333333335";"2.4166666666666665";"0.0009236845458020129"
"0060516283";"5.0";"8.5";"0.7071067811865476";"1826.0";"2.2";"0.0012048192771084338"
"0060528370";"4.0";"5.0";"N/A";"551.25";"1.75";"0.0031746031746031746"
"0060529709";"7.0";"N/A";"N/A";"1305.7142857142858";"1.8571428571428572";"0.0014223194748358861"
"0060534044";"4.0";"6.0";"N/A";"2060.25";"2.75";"0.001334789467297658"
"006053821X";"4.0";"7.0";"N/A";"884.5";"2.25";"0.002543810062182024"
"0060540753";"6.0";"7.5";"0.7071067811865476";"3633.5";"2.6666666666666665";"0.0007339112884730058"
"0060542128";"4.0";"7.5";"0.7071067811865476";"3912.5";"3.0";"0.0007667731629392971"
"0060542845";"5.0";"N/A";"N/A";"2817.0";"1.6";"0.0005679801206957757"
"0060549270";"5.0";"N/A";"N/A";"2054.8";"1.6";"0.0007786645902277593"
"0060558121";"4.0";"N/A";"N/A";"675.5";"1.0";"0.0014803849000740192"
"0060558199";"4.0";"9.0";"1.4142135623730951";"4069.75";"3.25";"0.0007985748510350759"
"0060652934";"6.0";"6.666666666666667";"2.0816659994661326";"2627.1666666666665";"3.8333333333333335";"0.0014591131129861067"
"0060740450";"5.0";"8.0";"N/A";"1201.8";"4.0";"0.003328340822100183"
"0060801115";"6.0";"N/A";"N/A";"1521.0";"1.3333333333333333";"0.0008766162612316458"
"0060801263";"4.0";"9.0";"1.0";"2512.25";"1.75";"0.0006965867250472683"
"0060803320";"5.0";"10.0";"0.0";"1594.2";"2.2";"0.0013800025090954713"
"0060808934";"7.0";"N/A";"N/A";"1843.0";"1.8571428571428572";"0.0010076738237345942"
"0060809248";"5.0";"N/A";"N/A";"772.4";"1.8";"0.002330398757120663"
"0060809396";"5.0";"N/A";"N/A";"1368.2";"2.4";"0.00175412951322906"
"0060809736";"5.0";"10.0";"N/A";"3621.8";"4.2";"0.0011596443757247777"
"0060809833";"9.0";"9.666666666666666";"0.5773502691896257";"2000.4444444444443";"3.4444444444444446";"0.0017218395912019554"
"0060812494";"6.0";"7.0";"N/A";"1251.5";"3.6666666666666665";"0.0029298175522706085"
"0060830956";"8.0";"9.0";"0.0";"2411.875";"2.75";"0.0011401917595231926"
"0060912529";"4.0";"8.0";"N/A";"987.25";"1.25";"0.0012661433274246644"
"006091260X";"4.0";"7.0";"N/A";"973.25";"3.75";"0.003853069612124326"
"006091291X";"4.0";"7.0";"0.0";"1579.75";"2.25";"0.001424275993036873"
"0060913509";"6.0";"5.0";"N/A";"1409.6666666666667";"2.0";"0.0014187751241428233"
"0060914653";"6.0";"6.5";"2.1213203435596424";"3728.3333333333335";"2.8333333333333335";"0.0007599463567277605"
"0060915153";"4.0";"7.0";"N/A";"4642.5";"3.5";"0.0007539041464728056"
"0060915544";"24.0";"9.0";"0.816496580927726";"1654.2916666666667";"2.0833333333333335";"0.001259350678790016"
"006091565X";"5.0";"7.0";"N/A";"2080.2";"1.8";"0.0008653014133256419"
"0060916338";"5.0";"N/A";"N/A";"2307.0";"3.8";"0.00164716081491114"
"0060916508";"8.0";"8.666666666666666";"1.5275252316519468";"2686.25";"3.5";"0.0013029315960912053"
"0060917016";"8.0";"7.5";"0.7071067811865476";"2928.125";"2.5";"0.0008537886872998933"
"0060919833";"4.0";"N/A";"N/A";"1031.75";"1.25";"0.00121153380179307"
"0060920084";"9.0";"7.5";"1.0488088481701516";"2317.5555555555557";"2.2222222222222223";"0.0009588647041902388"
"0060921145";"18.0";"7.285714285714286";"1.799470821684875";"1774.5";"2.3333333333333335";"0.0013149243918474688"
"0060922249";"4.0";"N/A";"N/A";"1702.5";"1.25";"0.0007342143906020558"
"0060922532";"18.0";"8.5";"0.8366600265340756";"1810.1666666666667";"1.9444444444444444";"0.0010741797870054935"
"0060923245";"4.0";"5.0";"N/A";"2510.75";"2.0";"0.000796574728666733"
"0060924349";"6.0";"N/A";"N/A";"753.8333333333334";"2.0";"0.0026531063453460093"
"0060924799";"4.0";"8.0";"N/A";"1540.5";"2.75";"0.0017851346965271017"
"0060925000";"6.0";"8.0";"N/A";"1451.0";"2.3333333333333335";"0.0016080863772111188"
"0060926317";"12.0";"6.666666666666667";"2.0816659994661326";"2797.3333333333335";"3.3333333333333335";"0.0011916110581506197"
"0060927216";"4.0";"N/A";"N/A";"910.75";"2.25";"0.0024704913532802636"
"0060927542";"5.0";"7.0";"1.4142135623730951";"1537.6";"1.8";"0.001170655567117586"
"0060927569";"5.0";"10.0";"N/A";"1174.4";"1.4";"0.0011920980926430516"
"0060928336";"53.0";"8.166666666666666";"1.898963034411309";"1304.4905660377358";"2.4150943396226414";"0.001851369724319477"
"0060929790";"7.0";"8.75";"1.5";"2709.4285714285716";"2.857142857142857";"0.0010545186122535063"
"0060929804";"4.0";"N/A";"N/A";"1030.5";"1.25";"0.0012130033964095099"
"0060929871";"13.0";"8.444444444444445";"1.9436506316151003";"327.7692307692308";"2.4615384615384617";"0.007509974184463741"
"006092988X";"8.0";"9.666666666666666";"0.5773502691896257";"2255.75";"2.375";"0.0010528649008090436"
"0060930187";"8.0";"10.0";"N/A";"2134.25";"3.125";"0.0014642145952910859"
"0060930535";"37.0";"7.555555555555555";"2.4037008503093262";"1284.081081081081";"2.4324324324324325";"0.0018942981625307824"
"0060931418";"9.0";"9.5";"0.7071067811865476";"2358.4444444444443";"2.7777777777777777";"0.0011778008103269576"
"0060931914";"4.0";"6.0";"N/A";"4812.0";"4.5";"0.0009351620947630922"
"0060932759";"10.0";"9.0";"N/A";"2759.6";"3.8";"0.0013770111610378315"
"0060932813";"4.0";"7.333333333333333";"0.5773502691896258";"5591.25";"4.5";"0.0008048289738430583"
"0060933267";"4.0";"7.0";"N/A";"3744.5";"3.5";"0.0009347042328748832"
"0060934417";"23.0";"7.625";"1.685018016012207";"1745.1739130434783";"2.0869565217391304";"0.0011958444405690226"
"0060934425";"5.0";"7.0";"N/A";"3464.2";"4.0";"0.0011546677443565615"
"0060934700";"6.0";"8.666666666666666";"0.5773502691896257";"728.0";"1.6666666666666667";"0.0022893772893772895"
"0060934913";"4.0";"8.0";"N/A";"1243.0";"1.0";"0.0008045052292839903"
"0060936231";"7.0";"8.0";"1.4142135623730951";"1380.7142857142858";"1.8571428571428572";"0.0013450594930160373"
"0060938455";"24.0";"8.333333333333334";"1.3706888336846839";"1341.4583333333333";"2.5416666666666665";"0.0018947041466066158"
"0060950617";"4.0";"7.666666666666667";"1.5275252316519465";"968.25";"3.25";"0.003356571133488252"
"0060956445";"4.0";"8.0";"0.0";"4210.0";"6.0";"0.0014251781472684087"
"0060958014";"4.0";"N/A";"N/A";"1980.75";"2.75";"0.001388362993815474"
"0060958022";"9.0";"6.333333333333333";"2.8867513459481287";"2793.777777777778";"3.0";"0.001073814826598791"
"0060959037";"10.0";"9.0";"0.0";"2348.8";"2.5";"0.0010643732970027247"
"0060959355";"5.0";"7.5";"3.5355339059327378";"1774.8";"1.4";"0.0007888212756366914"
"0060964049";"13.0";"5.666666666666667";"2.0816659994661326";"2096.076923076923";"2.6153846153846154";"0.0012477522110903153"
"0060970790";"7.0";"8.333333333333334";"0.5773502691896257";"2500.0";"2.5714285714285716";"0.0010285714285714286"
"0060971479";"5.0";"N/A";"N/A";"3708.8";"3.6";"0.0009706643658326143"
"0060972122";"7.0";"8.0";"0.0";"1572.5714285714287";"1.7142857142857142";"0.0010901162790697672"
"0060972459";"5.0";"4.0";"N/A";"3693.0";"3.2";"0.0008665041971297048"
"0060973277";"5.0";"10.0";"N/A";"1537.2";"1.8";"0.00117096018735363"
"0060973684";"6.0";"N/A";"N/A";"1255.3333333333333";"2.1666666666666665";"0.0017259691980881571"
"0060973897";"6.0";"7.0";"1.7320508075688772";"2832.0";"2.6666666666666665";"0.0009416195856873823"
"0060975547";"6.0";"10.0";"N/A";"2928.0";"4.0";"0.001366120218579235"
"0060976241";"4.0";"9.333333333333334";"0.5773502691896257";"654.5";"2.25";"0.003437738731856379"
"0060976497";"5.0";"N/A";"N/A";"4277.8";"3.8";"0.000888307073729487"
"0060976624";"5.0";"6.0";"N/A";"3157.0";"3.2";"0.0010136205258156478"
"0060976845";"33.0";"7.888888888888889";"1.6158932858054431";"1590.090909090909";"2.0303030303030303";"0.001276847140434128"
"0060977337";"5.0";"7.333333333333333";"2.0816659994661326";"3970.2";"3.6";"0.0009067553271875473"
"0060977477";"8.0";"7.333333333333333";"2.0816659994661326";"2983.5";"3.25";"0.0010893246187363835"
"0060977493";"17.0";"8.666666666666666";"1.1547005383792517";"1895.1176470588234";"2.176470588235294";"0.0011484619921159635"
"0060977744";"4.0";"10.0";"N/A";"5557.25";"4.0";"0.0007197804669575779"
"0060981180";"7.0";"7.666666666666667";"1.5275252316519465";"2324.4285714285716";"2.7142857142857144";"0.0011677217134779668"
