"";"Count";"Mean"
"0.0";"3.0";"10.0"
"10.0";"128.0";"8.991036414565826"
"20.0";"439.0";"8.898468577644845"
"30.0";"319.0";"9.008793981481483"
"40.0";"168.0";"9.454767058338486"
"50.0";"56.0";"9.627450980392156"
"60.0";"11.0";"9.0"
"70.0";"1.0";"N/A"
"80.0";"0";"N/A"
"90.0";"0";"N/A"
"100.0";"0";"N/A"
"110.0";"3.0";"N/A"
"120.0";"0";"N/A"
"130.0";"0";"N/A"
"140.0";"0";"N/A"
"150.0";"0";"N/A"
"160.0";"0";"N/A"
"170.0";"0";"N/A"
"180.0";"0";"N/A"
"190.0";"0";"N/A"
"200.0";"0";"N/A"
"210.0";"0";"N/A"
"220.0";"0";"N/A"
"230.0";"0";"N/A"
"240.0";"0";"N/A"
