"ISBN";"count";"rating-mean";"rating-std";"group-size";"group-weight";"normalized-weight"
"0007154615";"8.0";"6.0";"2.160246899469287";"2789.625";"3.5";"0.0012546489223461935"
"0020125305";"11.0";"6.5";"2.1213203435596424";"1287.1818181818182";"2.272727272727273";"0.001765661416766721"
"0020198906";"10.0";"7.666666666666667";"0.5773502691896258";"925.3";"1.7";"0.001837241975575489"
"0020199600";"8.0";"8.25";"0.9574271077563381";"696.375";"1.625";"0.0023335128343205886"
"002026478X";"14.0";"10.0";"N/A";"1617.857142857143";"1.9285714285714286";"0.0011920529801324503"
"0020427859";"8.0";"9.5";"0.7071067811865476";"1281.625";"3.0";"0.002340778308787672"
"0020442009";"10.0";"8.5";"0.5773502691896257";"655.8";"2.1";"0.0032021957913998173"
"0020442106";"6.0";"8.5";"0.7071067811865476";"759.6666666666666";"2.1666666666666665";"0.0028521281263712154"
"0020442203";"12.0";"9.4";"0.8944271909999159";"818.25";"2.0";"0.002444240757714635"
"0020442300";"8.0";"9.0";"1.4142135623730951";"969.375";"2.375";"0.00245003223726628"
"0020442408";"13.0";"8.5";"0.7071067811865476";"802.7692307692307";"2.1538461538461537";"0.0026830203142966655"
"0020442505";"8.0";"7.0";"2.8284271247461903";"2336.375";"2.875";"0.0012305387619710021"
"0020442602";"9.0";"8.75";"0.9574271077563381";"730.4444444444445";"2.5555555555555554";"0.003498630970489808"
"0020446500";"6.0";"8.0";"0.0";"3808.0";"2.5";"0.0006565126050420169"
"0020518501";"7.0";"7.666666666666667";"1.5275252316519465";"3037.4285714285716";"3.5714285714285716";"0.0011758066033298843"
"0020868308";"10.0";"9.666666666666666";"0.5773502691896257";"738.3";"1.8";"0.002438033319788704"
"002542730X";"30.0";"7.285714285714286";"1.9760470401187074";"1232.7666666666667";"2.2333333333333334";"0.001811643187410432"
"0028604032";"6.0";"8.666666666666666";"1.1547005383792517";"477.5";"1.8333333333333333";"0.0038394415357766143"
"0028604199";"7.0";"7.666666666666667";"1.5275252316519465";"772.0";"2.142857142857143";"0.002775721687638786"
"0028604202";"10.0";"8.0";"0.0";"1399.7";"2.3";"0.0016432092591269556"
"0060001453";"6.0";"7.666666666666667";"2.0816659994661326";"1097.5";"1.6666666666666667";"0.0015186028853454822"
"0060002492";"8.0";"7.0";"2.8284271247461903";"3373.5";"2.875";"0.0008522306210167482"
"006000438X";"7.0";"6.0";"N/A";"2502.1428571428573";"3.7142857142857144";"0.0014844419069369112"
"0060007192";"7.0";"10.0";"0.0";"648.5714285714286";"2.5714285714285716";"0.003964757709251102"
"0060008032";"15.0";"7.5";"0.5773502691896257";"1714.0666666666666";"2.1333333333333333";"0.0012446034771109642"
"0060008776";"8.0";"N/A";"N/A";"1519.375";"1.75";"0.0011517893870835046"
"0060009241";"12.0";"6.0";"3.605551275463989";"2333.0833333333335";"2.3333333333333335";"0.0010001071543379648"
"006001203X";"10.0";"6.75";"1.5";"2313.3";"2.8";"0.0012103920805775297"
"0060012781";"6.0";"8.0";"N/A";"3273.6666666666665";"4.166666666666667";"0.0012727828123409023"
"006008460X";"7.0";"8.0";"N/A";"1137.4285714285713";"1.5714285714285714";"0.0013815624215021353"
"0060085444";"13.0";"7.0";"0.0";"1871.5384615384614";"2.076923076923077";"0.0011097410604192356"
"0060085452";"10.0";"8.0";"1.632993161855452";"2098.4";"2.8";"0.0013343499809378573"
"0060086246";"7.0";"8.5";"2.1213203435596424";"954.1428571428571";"1.2857142857142858";"0.0013475071118430905"
"0060086386";"12.0";"6.0";"N/A";"2022.75";"2.5833333333333335";"0.001277139208173691"
"0060090375";"7.0";"8.25";"0.9574271077563381";"1550.142857142857";"1.4285714285714286";"0.000921574048474795"
"0060092645";"9.0";"6.666666666666667";"1.5275252316519465";"1621.0";"1.6666666666666667";"0.0010281719103434094"
"0060092653";"8.0";"8.0";"N/A";"3018.125";"2.625";"0.0008697452888796853"
"0060092661";"7.0";"8.0";"N/A";"1554.5714285714287";"1.7142857142857142";"0.0011027384671935304"
"0060096195";"18.0";"7.666666666666667";"1.7511900715418263";"1927.111111111111";"2.2777777777777777";"0.0011819649446494465"
"006016848X";"24.0";"7.9";"1.7919573407620815";"1141.4583333333333";"2.4583333333333335";"0.002153677678408469"
"0060172916";"7.0";"7.666666666666667";"0.5773502691896258";"2663.8571428571427";"3.4285714285714284";"0.001287070306215477"
"0060173289";"13.0";"7.25";"1.707825127659933";"1634.3076923076924";"2.5384615384615383";"0.0015532335498446765"
"0060175400";"17.0";"9.666666666666666";"0.5773502691896257";"1783.5294117647059";"2.2941176470588234";"0.0012862796833773087"
"0060175966";"10.0";"9.5";"0.7071067811865476";"609.7";"2.0";"0.003280301787764474"
"006017773X";"6.0";"9.0";"1.4142135623730951";"2770.6666666666665";"2.6666666666666665";"0.0009624639076034649"
"0060177888";"6.0";"7.666666666666667";"2.516611478423583";"779.6666666666666";"2.1666666666666665";"0.0027789653698161608"
"006018311X";"6.0";"7.5";"0.7071067811865476";"3574.6666666666665";"4.0";"0.0011189854531891085"
"0060184957";"8.0";"7.5";"1.0";"2432.875";"2.75";"0.0011303498946719417"
"006018650X";"6.0";"N/A";"N/A";"1794.5";"2.3333333333333335";"0.001300269341506455"
"0060186526";"7.0";"8.0";"N/A";"3454.8571428571427";"2.7142857142857144";"0.0007856434005954351"
"0060188731";"7.0";"6.6";"1.816590212458495";"2466.0";"3.142857142857143";"0.0012744757270304716"
"0060192119";"8.0";"10.0";"N/A";"2638.0";"3.0";"0.0011372251705837756"
"0060192704";"6.0";"9.0";"1.4142135623730951";"1281.5";"1.3333333333333333";"0.0010404473923787227"
"0060193395";"6.0";"7.5";"3.5355339059327378";"3543.0";"4.166666666666667";"0.0011760278483394487"
"0060194448";"7.0";"8.2";"1.3038404810405297";"2801.5714285714284";"3.0";"0.0010708275967569222"
"006019491X";"13.0";"9.5";"0.7071067811865476";"2157.3076923076924";"2.0";"0.000927081476198966"
"0060198346";"10.0";"6.5";"2.1213203435596424";"2153.2";"2.5";"0.0011610626044956346"
"0060199652";"13.0";"8.8";"1.0954451150103324";"2232.3846153846152";"2.3076923076923075";"0.0010337341924813066"
"0060234814";"7.0";"9.4";"0.8944271909999159";"2386.8571428571427";"3.7142857142857144";"0.0015561407708881974"
"0060248025";"9.0";"9.166666666666666";"1.3291601358251257";"402.22222222222223";"2.111111111111111";"0.005248618784530387"
"0060256656";"12.0";"10.0";"0.0";"758.1666666666666";"1.9166666666666667";"0.0025280281380523194"
"0060256672";"7.0";"9.2";"1.0954451150103324";"2455.5714285714284";"3.2857142857142856";"0.0013380650415963698"
"0060256737";"11.0";"8.833333333333334";"1.3291601358251257";"1867.909090909091";"2.8181818181818183";"0.0015087360685258188"
"0060263857";"6.0";"9.25";"0.9574271077563381";"696.6666666666666";"1.5";"0.0021531100478468903"
"0060391626";"19.0";"8.666666666666666";"2.3094010767585034";"1800.578947368421";"2.1052631578947367";"0.0011692145801058139"
"0060392452";"35.0";"8.0";"1.5811388300841898";"1006.5714285714286";"2.3714285714285714";"0.002355946636389441"
"0060502258";"45.0";"7.769230769230769";"1.589226549501683";"1285.4444444444443";"2.111111111111111";"0.0016423199930849686"
"0060505885";"14.0";"7.0";"2.0";"1473.7142857142858";"1.3571428571428572";"0.0009208995734780923"
"0060507365";"8.0";"8.0";"2.6457513110645907";"3586.0";"2.75";"0.0007668711656441718"
"0060507845";"6.0";"9.0";"N/A";"1206.1666666666667";"2.1666666666666665";"0.0017963244438303162"
"0060508108";"6.0";"5.0";"2.8284271247461903";"2230.3333333333335";"2.0";"0.0008967269466447466"
"0060512806";"10.0";"8.333333333333334";"1.1547005383792517";"1989.7";"2.7";"0.0013569884907272455"
"0060512822";"15.0";"8.5";"1.2909944487358056";"2293.6";"2.4";"0.0010463899546564353"
"0060513640";"9.0";"7.75";"1.5";"1340.111111111111";"2.3333333333333335";"0.0017411491584445736"
"0060517794";"9.0";"8.5";"2.1213203435596424";"929.7777777777778";"1.7777777777777777";"0.0019120458891013381"
"0060520507";"6.0";"8.0";"N/A";"1830.0";"2.3333333333333335";"0.0012750455373406193"
"0060529709";"7.0";"5.0";"N/A";"1396.2857142857142";"2.7142857142857144";"0.0019439328831594026"
"0060540753";"11.0";"7.666666666666667";"0.5773502691896258";"2510.181818181818";"2.0";"0.0007967550340431697"
"0060542128";"8.0";"8.333333333333334";"1.5275252316519468";"2434.0";"2.625";"0.0010784716516023007"
"0060542845";"7.0";"6.5";"2.1213203435596424";"2045.0";"1.4285714285714286";"0.0006985679357317499"
"0060548258";"6.0";"8.666666666666666";"1.5275252316519468";"2434.8333333333335";"2.8333333333333335";"0.0011636662331439523"
"0060549270";"10.0";"9.0";"N/A";"1212.5";"1.6";"0.0013195876288659794"
"0060557257";"10.0";"7.5";"3.5355339059327378";"320.5";"1.8";"0.00561622464898596"
"0060557818";"6.0";"9.0";"N/A";"687.8333333333334";"2.8333333333333335";"0.004119214926096438"
"0060562773";"8.0";"7.0";"1.4142135623730951";"919.875";"1.875";"0.0020383204239706482"
"0060652934";"7.0";"7.666666666666667";"2.309401076758503";"2413.5714285714284";"3.2857142857142856";"0.001361349511689849"
"0060740450";"11.0";"8.0";"N/A";"813.8181818181819";"2.1818181818181817";"0.0026809651474530827"
"0060801263";"7.0";"9.0";"1.4142135623730951";"1488.4285714285713";"2.0";"0.0013436990114214418"
"0060809248";"12.0";"7.0";"0.0";"697.8333333333334";"1.8333333333333333";"0.0026271793647002625"
"0060809736";"7.0";"10.0";"N/A";"2630.4285714285716";"3.0";"0.001140498560799435"
"0060809833";"15.0";"8.833333333333334";"1.1690451944500122";"1521.0";"2.466666666666667";"0.0016217400832785449"
"0060830956";"7.0";"9.0";"N/A";"2567.714285714286";"3.7142857142857144";"0.0014465338822743964"
"0060901012";"6.0";"N/A";"N/A";"2460.5";"2.6666666666666665";"0.001083790557474768"
"0060913509";"8.0";"N/A";"N/A";"1639.375";"2.875";"0.0017537171178040412"
"0060914653";"9.0";"8.0";"N/A";"2863.222222222222";"3.111111111111111";"0.0010865768947184602"
"0060915544";"28.0";"8.909090909090908";"0.9438798074485389";"1467.8214285714287";"2.3214285714285716";"0.0015815469962772817"
"006091565X";"8.0";"4.5";"3.5355339059327378";"1600.875";"2.25";"0.0014054813773717498"
"0060916338";"7.0";"N/A";"N/A";"1668.7142857142858";"2.142857142857143";"0.0012841366321376594"
"0060916508";"22.0";"8.333333333333334";"1.118033988749895";"1352.7727272727273";"2.3636363636363638";"0.0017472531164947416"
"0060917016";"10.0";"7.666666666666667";"0.5773502691896258";"2417.4";"2.4";"0.000992802184164805"
"0060920084";"9.0";"7.6";"0.8944271909999159";"2342.222222222222";"2.6666666666666665";"0.0011385199240986717"
"0060921145";"20.0";"7.666666666666667";"0.5773502691896258";"1694.95";"2.5";"0.001474969763119856"
"0060922249";"8.0";"8.0";"2.160246899469287";"914.0";"2.5";"0.002735229759299781"
"0060922532";"13.0";"8.0";"0.0";"2441.3076923076924";"2.6153846153846154";"0.0010713047862116773"
"0060923245";"10.0";"6.333333333333333";"2.309401076758503";"1361.2";"1.8";"0.0013223626212165735"
"0060924349";"6.0";"N/A";"N/A";"550.5";"1.8333333333333333";"0.003330305782621859"
"0060924640";"6.0";"7.0";"N/A";"2511.6666666666665";"1.1666666666666667";"0.0004644990046449901"
"0060924799";"6.0";"9.0";"1.4142135623730951";"1050.5";"1.8333333333333333";"0.0017452006980802793"
